source;target;next_n;prev_n;next_e;distance
5;6;6;5;3;2.45955
6;5;5;6;479;2.45955
89;90;90;89;63;1.72874
90;89;89;90;1583;1.72874
794;841;841;794;1047;2.98142
805;739;739;805;2458;1.48885
828;755;755;828;1020;2.91105
841;794;794;841;2522;2.98142
858;866;866;858;2561;0.607145
866;858;858;866;1082;0.607145
881;893;893;881;2606;3.26213
893;881;881;893;1118;3.26213
907;735;735;907;2631;0.879678
919;435;435;919;2725;0.680106
510;550;550;510;627;3.13691
435;919;919;435;1207;0.680106
529;440;440;529;2090;0.752627
440;529;529;440;601;0.752627
550;510;510;550;2117;3.13691
566;575;575;566;656;0.669345
575;566;566;575;2100;0.669345
590;623;623;590;2232;1.33458
593;604;604;593;2191;2.06585
604;593;593;604;699;2.06585
165;172;172;165;1661;1.40245
172;165;165;172;157;1.40245
252;253;253;252;245;3.08844
253;252;252;253;2624;3.08844
262;263;263;262;258;2.97348
263;262;262;263;1753;2.97348
278;301;301;278;319;0.619457
301;278;278;301;1813;0.619457
947;962;962;947;1202;0.90159
962;947;947;962;2686;0.90159
969;971;971;969;2697;1.43399
971;969;969;971;1216;1.43399
1000;1001;1001;1000;1256;1.17108
1001;1000;1000;1001;2858;1.17108
1021;1022;1022;1021;1283;3.74659
1022;1021;1021;1022;2770;3.74659
1036;1039;1039;1036;1305;2.46423
1039;1036;1036;1039;2627;2.46423
623;590;590;623;729;1.33458
640;702;702;640;846;1.09986
644;655;655;644;778;2.82944
655;644;644;655;2269;2.82944
702;640;640;702;2329;1.09986
735;907;907;735;1141;0.879678
739;805;805;739;984;1.48885
755;828;828;755;2495;2.91105
